store_id,uptime_last_hour_min,downtime_last_hour_min,uptime_last_day_hr,downtime_last_day_hr,uptime_last_week_hr,downtime_last_week_hr,now_utc
ef324889-d677-494b-b149-6de470526bb7,34,0,1.0,0.0,9.0,0.0,2024-10-15 05:26:00 UTC
6281fa5b-f007-47b3-9548-792aaa491920,0,0,13.42,0.58,69.09,2.91,2024-10-15 05:26:00 UTC
d2ac11ee-86d7-47de-ae79-193a5127f333,0,0,13.42,0.58,69.09,2.91,2024-10-15 05:26:00 UTC
b273fa75-4bd0-4746-9511-95ca18d56098,0,0,13.42,0.58,69.09,2.91,2024-10-15 05:26:00 UTC
f1e6663c-87cc-4d81-8092-360f93b45b91,60,0,11.85,1.58,64.14,7.86,2024-10-15 05:26:00 UTC
2a77eaed-c15e-4886-b8d3-69c9aa5fc9f5,0,0,13.42,0.58,69.08,2.92,2024-10-15 05:26:00 UTC
9fdd5bc3-fae5-4595-9a9f-dd163d90e1e9,0,0,13.42,0.58,69.07,2.93,2024-10-15 05:26:00 UTC
52934307-82e6-45f5-ac27-49aa092a8bbb,0,0,13.42,0.58,69.07,2.93,2024-10-15 05:26:00 UTC
b1f2bc63-7297-48cb-ac8b-1443c6519201,0,0,13.42,0.58,69.06,2.93,2024-10-15 05:26:00 UTC
f2686184-3b91-4236-9498-1150b28ced78,0,0,13.42,0.58,69.06,2.94,2024-10-15 05:26:00 UTC
fffa45a6-0bb6-4c88-8c55-532354e7db34,34,0,11.41,2.59,59.12,12.88,2024-10-15 05:26:00 UTC
55c47108-5ec0-43c1-bda8-892b76d27cbc,34,0,11.41,2.59,59.11,12.89,2024-10-15 05:26:00 UTC
74366e9c-f0e1-40c8-ad05-12d41908aea3,34,0,11.41,2.59,59.11,12.89,2024-10-15 05:26:00 UTC
0f8e5020-8a7d-49dc-9819-69042c7e2639,60,0,11.84,1.59,64.1,7.89,2024-10-15 05:26:00 UTC
89009ac1-ad8f-4d67-b0e6-535829f5372e,60,0,11.84,1.59,64.1,7.9,2024-10-15 05:26:00 UTC
42918db1-ae8c-487a-99fd-bf722fff0b81,60,0,11.84,1.59,64.09,7.9,2024-10-15 05:26:00 UTC
7f06abd6-0f82-4b11-8ee7-c1bdf0a14f88,34,0,11.41,2.59,59.08,12.92,2024-10-15 05:26:00 UTC
fbf38bdf-ff1c-4221-9442-7c13c72579fb,0,0,0.0,11.0,0.0,59.0,2024-10-15 05:26:00 UTC
ff08747f-2709-440e-abe4-43578b3bd962,0,0,13.63,0.37,70.14,1.86,2024-10-15 05:26:00 UTC
38e291ce-7584-4dd1-aa6e-de43ef97b8b7,0,0,13.63,0.37,70.13,1.87,2024-10-15 05:26:00 UTC
1008a3b1-9be3-453f-b76c-b16a1828091f,0,0,13.63,0.37,70.13,1.87,2024-10-15 05:26:00 UTC
386f94f3-30bb-4465-98d4-b9f15d5eaed5,34,0,11.62,2.38,60.18,11.82,2024-10-15 05:26:00 UTC
75b1d483-33af-4b1a-a818-138921cb8fa2,0,0,13.62,0.37,70.12,1.88,2024-10-15 05:26:00 UTC
834a2b88-eea2-460d-9cd0-5e177c967f2e,60,0,12.05,1.38,64.59,7.41,2024-10-15 05:26:00 UTC
434429c4-97e6-43a5-804f-c7821beb6e83,60,0,12.05,1.38,64.59,7.41,2024-10-15 05:26:00 UTC
bc00934e-d89c-4bf6-ae25-86ba83151099,0,0,13.62,0.38,64.45,7.55,2024-10-15 05:26:00 UTC
d25ebc4b-8024-4292-bd18-ed05d66cbfb9,60,0,12.05,1.38,64.58,7.42,2024-10-15 05:26:00 UTC
6fbb19b0-1bd2-4ccd-8c41-841c611a9d3d,0,0,13.62,0.38,70.08,1.92,2024-10-15 05:26:00 UTC
fb7d515d-264c-4527-be85-f524f264cbfe,0,0,13.61,0.39,70.07,1.93,2024-10-15 05:26:00 UTC
5a510337-2658-491e-92f7-e9b2eb22c484,34,0,11.61,2.39,60.1,11.9,2024-10-15 05:26:00 UTC
3bc558fb-e7dc-42a8-933b-90667a8686aa,34,0,11.61,2.39,60.09,11.9,2024-10-15 05:26:00 UTC
07c97831-a322-433b-8a05-2eb23ec5c459,34,0,11.61,2.39,57.09,14.9,2024-10-15 05:26:00 UTC
532f7bfd-90c2-40db-b67d-4b952ee0d097,34,0,11.61,2.39,60.09,11.91,2024-10-15 05:26:00 UTC
bbcc6730-efcb-4b84-aec7-44cc48764c73,34,0,11.61,2.39,60.09,11.91,2024-10-15 05:26:00 UTC
f18f465a-012e-4f15-b2b1-97396bb70423,34,0,11.6,2.4,57.08,14.92,2024-10-15 05:26:00 UTC
bdc44772-6e9d-40b0-983d-e10a6e0d492c,34,0,11.6,2.4,60.07,11.92,2024-10-15 05:26:00 UTC
fc3b81ec-24f1-4d48-a6a5-8eea79f1362c,34,0,11.6,2.4,60.07,11.93,2024-10-15 05:26:00 UTC
d74868cf-0694-4ce4-9dde-c06d1b802594,34,0,11.6,2.4,60.07,11.93,2024-10-15 05:26:00 UTC
1d6d6cbd-4ae8-434a-965e-e711059a6a30,34,0,11.6,2.4,60.06,11.94,2024-10-15 05:26:00 UTC
